Comment;Designator;Footprint
WS2812B;D49,D94,D72,D3,D71,D12,D89,D27,D79,D35,D28,D5,D51,D92,D52,D30,D68,D56,D21,D88,D8,D40,D39,D62,D91,D58,D42,D73,D54,D81,D7,D86,D76,D45,D9,D46,D53,D2,D57,D36,D69,D82,D19,D23,D60,D6,D1,D10,D41,D11,D75,D25,D31,D67,D32,D63,D43,D95,D16,D47,D66,D84,D70,D87,D55,D14,D33,D15,D74,D85,D93,D77,D4,D18,D20,D50,D17,D26,D44,D59,D80,D24,D38,D37,D90,D65,D78,D96,D83,D29,D22,D64,D34,D48,D61,D13;LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm
TSW-103-07-T-S;J1;SAMTEC_TSW-103-07-T-S
